t,x,y,yaw,u,w
36.651,0.7328020418710258,0.5460398109029231,-0.954134481395989,0.3311402254858201,-0.0789393407388554
36.701,0.7420241620792558,0.5325333352322439,-0.9580814484308798,0.35846524819574443,-0.0789393407388204
36.751,0.7483502452053041,0.5231198827024846,-0.9624762778532381,0.15494414499416564,-0.09386808701569783
36.801,0.7524205197521432,0.5167630984360049,-0.9671696822005751,0.18222936160144088,-0.09386808701566278
36.851,0.7597286668760652,0.5056933273464799,-0.972506774343436,0.33650778892248867,-0.11532434692539707
36.901,0.7688209176027975,0.4917757929242667,-0.9782729916833133,0.3637427997942287,-0.11532434692536189
36.951,0.7751881249076172,0.4818328689554716,-0.9844983601006596,0.16686870866250386,-0.13062938289895493
37.001,0.7794142547729983,0.4748683717414607,-0.9910298292363187,0.19403986954925712,-0.13062938289891957
37.051,0.7854998092895178,0.4650258756541436,-0.9979512980790387,0.27210966082702126,-0.14362937319551314
37.101,0.7924563188662911,0.45356460470225035,-1.0051327667264671,0.29920476602125645,-0.1436293731954777
37.151,0.798018059712553,0.4442453942821093,-1.0129990368634643,0.17772632523706766,-0.16898753169565542
37.201,0.8023396369644183,0.4366752768249656,-1.0211799817908334,0.20473036469054362,-0.1689875316956198
37.251,0.8078373014191951,0.42707129680467987,-1.0302499335399966,0.24767275425561347,-0.19312922531817248
37.301,0.8137430421367835,0.4164083030204554,-1.0399063947758893,0.27456508932318563,-0.19312922531813662
37.351,0.8189815014113216,0.40705434651900274,-1.049579888556593,0.19031643713083368,-0.18937891416642327
37.401,0.8235267275327847,0.39889471019417183,-1.0587847950168847,0.2138686521442006,-0.22412133523496103
37.451,0.8290931470442005,0.3886709075110241,-1.0700392657145459,0.2590967481014999,-0.24695397107697625
37.501,0.8350521282523863,0.3773588582182742,-1.082061974798907,0.28309731183104075,-0.27627054935839296
37.551,0.8402458779055728,0.36741818987934566,-1.0950416782661616,0.19903014018072118,-0.2662946794710523
37.601,0.8447083652434371,0.3587076597629123,-1.1079578673504082,0.2209429272387266,-0.3193405424200475
